,,Share with student loan debt,,,,Median student loan debt,,,,Share student loan holders with student loan debt in collections,,,,Median student loan debt in collections,,,,Median monthly student loan payment,,,,Share people with a credit record who have student loan debt in collections,,,,Nonwhite population share,,Share without a bachelor's degree,,,,Average household income,,
County,State,Overall,White areas,Nonwhite areas,,Overall,White areas,Nonwhite areas,,Overall,White areas,Nonwhite areas,,Overall,White areas,Nonwhite areas,,Overall,White areas,Nonwhite areas,,Overall,White areas,Nonwhite areas,,,,Overall,White,Nonwhite,,Overall,White,Nonwhite
Autauga County,Alabama,16%,17%,n/a*,,"$19,441","$19,700",n/a*,,17%,15%,n/a*,,n/a*,n/a*,n/a*,,$215,$221,n/a*,,3%,3%,n/a*,,24%,,77%,75%,84%,,"$64,765","$69,780","$45,981"
Baldwin County,Alabama,14%,14%,n/a*,,"$13,964","$14,000",n/a*,,14%,13%,n/a*,,"$8,030","$7,890",n/a*,,$162,$164,n/a*,,2%,2%,n/a*,,17%,,71%,69%,79%,,"$73,408","$75,745","$56,869"
Barbour County,Alabama,10%,n/a*,n/a*,,n/a*,n/a*,n/a*,,16%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,n/a*,,54%,,87%,81%,94%,,"$44,688","$56,667","$32,238"
Bibb County,Alabama,11%,11%,9%,,n/a*,n/a*,n/a*,,17%,10%,60%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,6%,,25%,,89%,89%,90%,,"$52,241","$55,419","$38,111"
Blount County,Alabama,10%,10%,n/a*,,"$11,128","$11,128",n/a*,,20%,20%,n/a*,,n/a*,n/a*,n/a*,,$129,$129,n/a*,,2%,2%,n/a*,,12%,,87%,86%,94%,,"$54,884","$56,150","$40,938"
Bullock County,Alabama,17%,n/a*,18%,,n/a*,n/a*,n/a*,,22%,n/a*,20%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,n/a*,4%,,78%,,86%,73%,91%,,"$41,947","$65,793","$33,421"
Butler County,Alabama,12%,n/a*,n/a*,,n/a*,n/a*,n/a*,,12%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,n/a*,n/a*,,47%,,85%,81%,92%,,"$43,972","$54,606","$31,162"
Calhoun County,Alabama,12%,12%,n/a**,,"$17,213","$17,042",n/a**,,16%,15%,n/a**,,n/a*,n/a*,n/a**,,$133,$133,n/a**,,2%,2%,n/a**,,27%,,83%,81%,90%,,"$53,327","$58,370","$38,181"
Chambers County,Alabama,12%,12%,n/a*,,"$15,535",n/a*,n/a*,,11%,6%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,43%,,88%,85%,94%,,"$49,456","$58,167","$36,861"
Cherokee County,Alabama,9%,9%,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,0%,0%,n/a**,,8%,,86%,86%,91%,,"$50,591","$51,856","$34,787"
Chilton County,Alabama,10%,10%,n/a**,,"$11,611","$11,611",n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,19%,,86%,85%,91%,,"$55,546","$57,761","$43,808"
Choctaw County,Alabama,14%,5%,n/a*,,n/a*,n/a*,n/a*,,27%,33%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,2%,n/a*,,44%,,88%,89%,87%,,"$47,721","$58,059","$34,726"
Clarke County,Alabama,13%,n/a*,n/a*,,n/a*,n/a*,n/a*,,17%,n/a*,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,n/a*,,47%,,87%,81%,94%,,"$48,153","$59,965","$32,419"
Clay County,Alabama,8%,7%,n/a**,,n/a*,n/a*,n/a**,,23%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,20%,,90%,90%,93%,,"$44,846","$47,289","$33,223"
Cleburne County,Alabama,9%,9%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,7%,,88%,88%,88%,,"$50,244","$51,207","$36,646"
Coffee County,Alabama,13%,13%,n/a**,,"$16,484","$16,484",n/a**,,14%,15%,n/a**,,n/a*,n/a*,n/a**,,$176,$176,n/a**,,2%,2%,n/a**,,28%,,76%,74%,84%,,"$62,808","$66,450","$51,435"
Colbert County,Alabama,12%,13%,n/a**,,"$14,044","$14,044",n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,$131,$131,n/a**,,2%,2%,n/a**,,21%,,81%,81%,84%,,"$53,233","$56,042","$41,736"
Conecuh County,Alabama,11%,n/a*,n/a**,,n/a*,n/a*,n/a**,,37%,n/a*,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,4%,n/a*,n/a**,,49%,,92%,89%,95%,,"$38,051","$48,303","$26,171"
Coosa County,Alabama,7%,6%,n/a**,,n/a*,n/a*,n/a**,,17%,0%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,0%,n/a**,,35%,,92%,90%,94%,,"$41,365","$48,280","$27,861"
Covington County,Alabama,10%,10%,n/a*,,"$14,063","$14,063",n/a*,,11%,11%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,1%,n/a*,,17%,,86%,85%,92%,,"$50,925","$53,833","$34,125"
Crenshaw County,Alabama,7%,7%,n/a**,,n/a*,n/a*,n/a**,,16%,17%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,30%,,86%,85%,87%,,"$50,203","$56,743","$34,433"
Cullman County,Alabama,11%,11%,n/a**,,"$12,495","$12,578",n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,$119,$119,n/a**,,3%,3%,n/a**,,8%,,87%,87%,89%,,"$49,033","$49,251","$44,245"
Dale County,Alabama,13%,13%,n/a**,,"$13,322","$13,322",n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,$155,n/a*,n/a**,,3%,3%,n/a**,,30%,,84%,83%,87%,,"$55,568","$61,068","$40,916"
Dallas County,Alabama,14%,n/a*,14%,,"$16,115",n/a*,"$16,708",,20%,n/a*,20%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,n/a*,3%,,71%,,86%,79%,90%,,"$43,626","$71,453","$31,290"
DeKalb County,Alabama,8%,8%,n/a**,,"$10,887","$10,887",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,19%,,90%,88%,99%,,"$48,451","$50,925","$31,567"
Elmore County,Alabama,15%,15%,n/a**,,"$14,725","$15,248",n/a**,,19%,20%,n/a**,,n/a*,n/a*,n/a**,,$152,$160,n/a**,,3%,3%,n/a**,,26%,,79%,77%,87%,,"$72,416","$78,906","$51,994"
Escambia County,Alabama,10%,9%,n/a**,,"$12,993",n/a*,n/a**,,26%,22%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,2%,n/a**,,39%,,87%,86%,90%,,"$44,903","$51,202","$33,932"
Etowah County,Alabama,10%,10%,n/a**,,"$14,938","$14,938",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,$144,$144,n/a**,,1%,1%,n/a**,,21%,,83%,81%,89%,,"$52,933","$54,686","$45,137"
Fayette County,Alabama,8%,8%,n/a**,,n/a*,n/a*,n/a**,,18%,18%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,15%,,86%,86%,87%,,"$46,340","$49,566","$28,164"
Franklin County,Alabama,8%,8%,n/a**,,n/a*,n/a*,n/a**,,24%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,21%,,89%,87%,95%,,"$47,562","$47,790","$46,175"
Geneva County,Alabama,9%,9%,n/a*,,n/a*,n/a*,n/a*,,21%,21%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,2%,n/a*,,16%,,88%,87%,92%,,"$49,044","$50,789","$37,843"
Greene County,Alabama,16%,n/a*,15%,,n/a*,n/a*,n/a*,,10%,n/a*,10%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,n/a*,2%,,82%,,89%,78%,92%,,"$33,110","$57,454","$27,121"
Hale County,Alabama,17%,19%,17%,,n/a*,n/a*,n/a*,,9%,6%,13%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,2%,1%,2%,,60%,,86%,82%,89%,,"$46,127","$63,319","$33,136"
Henry County,Alabama,11%,11%,n/a**,,n/a*,n/a*,n/a**,,20%,20%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,32%,,83%,81%,89%,,"$54,837","$61,782","$37,317"
Houston County,Alabama,13%,12%,n/a**,,"$17,343","$18,102",n/a**,,15%,12%,n/a**,,n/a*,n/a*,n/a**,,$168,$167,n/a**,,2%,1%,n/a**,,33%,,79%,75%,89%,,"$62,157","$72,079","$40,179"
Jackson County,Alabama,8%,8%,n/a**,,"$12,231","$12,231",n/a**,,10%,10%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,11%,,88%,87%,88%,,"$48,877","$49,389","$43,508"
Jefferson County,Alabama,17%,16%,16%,,"$19,710","$22,361","$16,805",,15%,10%,22%,,"$9,466","$8,976","$8,958",,$168,$186,$147,,3%,2%,4%,,49%,,68%,59%,80%,,"$68,795","$88,766","$46,069"
Lamar County,Alabama,9%,9%,n/a**,,n/a*,n/a*,n/a**,,15%,15%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,14%,,88%,88%,90%,,"$47,505","$49,923","$32,745"
Lauderdale County,Alabama,14%,14%,n/a**,,"$14,107","$14,384",n/a**,,14%,13%,n/a**,,n/a*,n/a*,n/a**,,$136,$136,n/a**,,2%,2%,n/a**,,15%,,77%,76%,83%,,"$59,626","$62,086","$43,721"
Lawrence County,Alabama,7%,7%,n/a**,,n/a*,n/a*,n/a**,,25%,24%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,23%,,89%,89%,88%,,"$52,205","$52,924","$49,641"
Lee County,Alabama,17%,17%,n/a*,,"$23,282","$23,969",n/a*,,13%,12%,n/a*,,n/a*,n/a*,n/a*,,$174,$188,n/a*,,2%,2%,n/a*,,32%,,66%,60%,78%,,"$62,399","$70,405","$45,860"
Limestone County,Alabama,15%,12%,n/a**,,"$13,680","$12,394",n/a**,,11%,13%,n/a**,,n/a*,n/a*,n/a**,,$121,$114,n/a**,,2%,2%,n/a**,,23%,,74%,75%,71%,,"$72,790","$70,303","$86,186"
Lowndes County,Alabama,16%,n/a**,15%,,n/a*,n/a**,n/a*,,26%,n/a**,27%,,n/a*,n/a**,n/a*,,n/a*,n/a**,n/a*,,4%,n/a**,4%,,75%,,86%,71%,92%,,"$45,423","$84,547","$31,414"
Macon County,Alabama,22%,21%,23%,,"$23,196",n/a*,"$27,215",,19%,23%,18%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,4%,5%,4%,,84%,,81%,79%,81%,,"$41,830","$49,491","$40,212"
Madison County,Alabama,17%,16%,18%,,"$19,905","$18,920","$17,083",,12%,9%,22%,,"$10,210","$12,554",n/a*,,$174,$172,$147,,2%,1%,4%,,35%,,59%,54%,68%,,"$79,586","$87,166","$62,751"
Marengo County,Alabama,17%,23%,n/a*,,"$12,637",n/a*,n/a*,,19%,17%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,4%,n/a*,,54%,,85%,80%,89%,,"$50,336","$69,855","$34,408"
Marion County,Alabama,10%,10%,n/a**,,n/a*,n/a*,n/a**,,8%,8%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,1%,1%,n/a**,,8%,,88%,88%,91%,,"$47,656","$47,658","$47,621"
Marshall County,Alabama,9%,9%,n/a**,,"$9,986","$9,986",n/a**,,14%,14%,n/a**,,n/a*,n/a*,n/a**,,$107,$107,n/a**,,1%,1%,n/a**,,17%,,83%,81%,96%,,"$59,938","$63,718","$33,207"
Mobile County,Alabama,18%,16%,20%,,"$15,303","$17,079","$14,603",,21%,16%,32%,,"$5,434","$6,505","$4,007",,$149,$144,$127,,4%,3%,6%,,43%,,77%,72%,83%,,"$59,771","$71,437","$42,426"
Monroe County,Alabama,8%,5%,n/a*,,n/a*,n/a*,n/a*,,14%,0%,n/a*,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,1%,0%,n/a*,,45%,,88%,84%,93%,,"$39,437","$47,107","$28,919"
Montgomery County,Alabama,21%,20%,20%,,"$22,545","$20,422","$19,067",,23%,18%,29%,,"$6,344",n/a*,"$6,344",,$180,$144,$171,,5%,4%,6%,,64%,,68%,55%,77%,,"$62,165","$84,500","$47,340"
Morgan County,Alabama,12%,11%,n/a**,,"$11,306","$11,185",n/a**,,15%,11%,n/a**,,n/a*,n/a*,n/a**,,$147,$148,n/a**,,2%,1%,n/a**,,23%,,78%,75%,87%,,"$62,510","$67,964","$42,134"
Perry County,Alabama,19%,n/a*,19%,,n/a*,n/a*,n/a*,,29%,n/a*,29%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,6%,n/a*,6%,,70%,,87%,82%,89%,,"$38,795","$56,342","$30,614"
Pickens County,Alabama,13%,10%,17%,,n/a*,n/a*,n/a*,,23%,22%,19%,,n/a*,n/a*,n/a*,,n/a*,n/a*,n/a*,,3%,2%,3%,,45%,,90%,87%,95%,,"$42,939","$51,900","$29,464"
Pike County,Alabama,17%,14%,n/a**,,"$16,941",n/a*,n/a**,,11%,12%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,2%,2%,n/a**,,43%,,77%,71%,85%,,"$48,558","$60,499","$31,902"
Randolph County,Alabama,10%,10%,n/a**,,n/a*,n/a*,n/a**,,25%,25%,n/a**,,n/a*,n/a*,n/a**,,n/a*,n/a*,n/a**,,3%,3%,n/a**,,25%,,85%,84%,88%,,"$46,845","$49,909","$35,587"
Russell County,Alabama,17%,9%,n/a*,,"$16,298",n/a*,n/a*,,15%,0%,n/a*,,n/a*,n/a*,n/a*,,$154,n/a*,n/a*,,3%,0%,n/a*,,50%,,83%,83%,83%,,"$49,746","$55,233","$43,807"
St. Clair County,Alabama,13%,13%,n/a**,,"$19,179","$19,179",n/a**,,11%,11%,n/a**,,n/a*,n/a*,n/a**,,$151,$151,n/a**,,1%,1%,n/a**,,14%,,87%,87%,87%,,"$64,481","$64,488","$64,423"
